car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
BMW,520,1989,Manual,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"2,800 JOD"
Porsche,Boxster S,2017,Automatic,"20,000 - 29,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Ford,F-150,2007,Automatic,0,With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"6,500 JOD"
Toyota,Prius,2009,Automatic,"190,000 - 199,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"6,900 JOD"
Hyundai,Avante,2011,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Ford,Fusion,2012,Automatic,"150,000 - 159,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,
Toyota,Prius,2015,Automatic,"130,000 - 139,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,000 JOD"
Hyundai,Ioniq,2017,Automatic,"140,000 - 149,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Hyundai,Ioniq,2017,Automatic,"140,000 - 149,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Peugeot,208,2012,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,800 JOD"
Tesla,X,2018,Automatic,"40,000 - 49,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Tesla,X,2018,Automatic,"40,000 - 49,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Volkswagen,E-Bora,2019,Automatic,"40,000 - 49,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
BYD,Seagull,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,"12,500 JOD"
Toyota,Prius,2015,Automatic,"60,000 - 69,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,600 JOD"
Volkswagen,Jetta,2013,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Audi,Q7,2013,Automatic,"20,000 - 29,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"19,800 JOD"
Hyundai,Sonata,2018,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"13,900 JOD"
Chevrolet,Malibu,2013,Automatic,"150,000 - 159,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"9,200 JOD"
Mercedes Benz,Vito,2008,Automatic,"+200,000",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"10,500 JOD"
Daihatsu,Sirion,2016,Automatic,"80,000 - 89,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,950 JOD"
Renault,Sandero,2022,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,200 JOD"
Tesla,3,2020,Automatic,"30,000 - 39,999",With Customs,Electric,70 - 89 kWh,Cash Only,"18,750 JOD"
Kia,Spectra,2000,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,300 JOD"
Hyundai,Santa Fe,2013,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"10,700 JOD"
Toyota,RAV 4,2005,Automatic,"+200,000",With Customs,Gasoline,N/A,Cash Only,"8,100 JOD"
Kia,Sephia,1995,Manual,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,100 JOD"
Renault,Duster,2017,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"7,500 JOD"
Mazda,3,2018,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
BMW,i3,2014,Automatic,"100,000 - 109,999",With Customs,Electric,Less than 50 kWh,Cash Only,"9,500 JOD"
Lexus,NX 300,2021,Automatic,"30,000 - 39,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Elantra,2008,Automatic,"10,000 - 19,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"7,000 JOD"
Mercedes Benz,E 200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mercedes Benz,E 200,2021,Automatic,"10,000 - 19,999",With Customs,Mild Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Honda,Insight,2019,Automatic,"20,000 - 29,999",Without Customs,Hybrid,N/A,Cash or Installments,N/A
Hyundai,Sonata,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"13,900 JOD"
Mercedes Benz,C 180,2015,Automatic,"140,000 - 149,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"24,500 JOD"
Audi,Q5,2022,Automatic,1 - 999,With Customs,Electric,70 - 89 kWh,Cash Only,"32,000 JOD"
Kia,Morning,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Daewoo,Lanos,1997,Manual,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,600 JOD"
Toyota,Prado,2008,Automatic,1 - 999,With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Other,1994,Manual,0,With Customs,Gasoline,N/A,Cash Only,"2,500 JOD"
Cadillac,Escalade,2007,Automatic,"160,000 - 169,999",With Customs,Gasoline,"More than 6,000 cc",Cash Only,"12,600 JOD"
Mercedes Benz,E 200,2008,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"13,200 JOD"
Kia,Niro,2018,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"18,450 JOD"
Suzuki,Alto,2021,Manual,"90,000 - 99,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"5,900 JOD"
Hyundai,Ioniq,2020,Automatic,0,Without Customs,Hybrid,N/A,Cash Only,"9,500 JOD"
Hyundai,Sonata,2016,Automatic,"60,000 - 69,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"14,000 JOD"
Nissan,Leaf,2019,Automatic,"70,000 - 79,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
BMW,318,2000,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Chevrolet,Spark,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,250 JOD"
Kia,Sportage,2014,Automatic,"150,000 - 159,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"14,000 JOD"
Mercedes Benz,E 240,2003,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"10,000 JOD"
Toyota,Prius,2015,Automatic,"150,000 - 159,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,300 JOD"
Hyundai,Accent,2009,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,900 JOD"
Hyundai,Avante,2003,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"5,500 JOD"
Isuzu,Pickup,1997,Manual,"30,000 - 39,999",With Customs,Diesel,N/A,Cash Only,"5,500 JOD"
Ford,F-150,2015,Automatic,"+200,000",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"13,500 JOD"
Toyota,Prius,2015,Automatic,"140,000 - 149,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,500 JOD"
Honda,Insight,2022,Automatic,"1,000 - 9,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"18,600 JOD"
Isuzu,NPR,2006,Manual,"110,000 - 119,999",With Customs,Diesel,"4,000 - 4,999 cc",Cash Only,"5,500 JOD"
Hyundai,Accent,2005,Manual,0,With Customs,Gasoline,"More than 6,000 cc",Cash Only,"3,400 JOD"
Hyundai,Other,1994,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,500 JOD"
Mazda,2,2012,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,000 JOD"
Mazda,3,2018,Automatic,"120,000 - 129,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Spectra,2001,Manual,1 - 999,With Customs,Gasoline,N/A,Cash Only,"2,600 JOD"
Kia,Bongo,2003,Manual,1 - 999,With Customs,Diesel,0 - 499 cc,Cash Only,"3,900 JOD"
Toyota,Land Cruiser,2011,Automatic,"160,000 - 169,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"29,500 JOD"
Hyundai,Verna,2009,Automatic,"160,000 - 169,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,500 JOD"
Hyundai,Avante,2000,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"5,300 JOD"
Tesla,X,2023,Automatic,1 - 999,Without Customs,Electric,More than 100 kWh,Cash Only,"65,000 JOD"
Lincoln,MKZ,2017,Automatic,"120,000 - 129,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mitsubishi,L200,2016,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"15,000 JOD"
Toyota,Yaris,2017,Automatic,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,000 JOD"
Dodge,Ram,2014,Automatic,"190,000 - 199,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"15,000 JOD"
Hyundai,Accent,1994,Manual,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,499 JOD"
Hyundai,Elantra,2016,Automatic,"20,000 - 29,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"43,000 JOD"
Ford,Fusion,2017,Automatic,"90,000 - 99,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,Vito,2005,Automatic,"150,000 - 159,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
Chevrolet,Captiva,2022,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Volkswagen,Polo,2004,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,500 JOD"
Mitsubishi,Pajero Sport,2014,Automatic,"80,000 - 89,999",With Customs,Gasoline,N/A,Cash Only,"8,400 JOD"
Ford,Explorer,2010,Automatic,"140,000 - 149,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"7,000 JOD"
Citroen,Xsara,2003,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,200 JOD"
Toyota,Yaris,2019,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Cerato,2016,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,300 JOD"
Suzuki,Alto,2016,Manual,"160,000 - 169,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"4,000 JOD"
Toyota,Camry,2019,Automatic,"140,000 - 149,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"21,900 JOD"
Hyundai,Elantra,2006,Automatic,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,750 JOD"
Volkswagen,E-Golf,2015,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash Only,"9,800 JOD"
Toyota,Highlander,2020,Automatic,"30,000 - 39,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Elantra,1994,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,300 JOD"
Volkswagen,E-Golf,2015,Automatic,"80,000 - 89,999",With Customs,Electric,Less than 50 kWh,Cash Only,"9,500 JOD"
Hyundai,Sonata,2015,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"9,600 JOD"
Hyundai,Porter,2007,Manual,"20,000 - 29,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"5,700 JOD"
Tesla,Y,2020,Automatic,"30,000 - 39,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Hyundai,Ioniq,2018,Automatic,"90,000 - 99,999",With Customs,Hybrid,N/A,Cash Only,"15,200 JOD"
Toyota,Land Cruiser,2014,Automatic,"150,000 - 159,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"35,500 JOD"
Mercedes Benz,CLA 200,2014,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"28,500 JOD"
Hyundai,Elantra,2017,Automatic,"80,000 - 89,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"10,700 JOD"
Mercedes Benz,E 200,1988,Automatic,"110,000 - 119,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,000 JOD"
Toyota,Prius,2011,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"8,300 JOD"
Toyota,RAV 4,2018,Automatic,"40,000 - 49,999",With Customs,Hybrid,"2,000 - 2,999 cc",Installments Only,N/A
Hyundai,H-1 Starex,2000,Manual,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"1,999 JOD"
Chevrolet,Aveo,2005,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,500 JOD"
Chevrolet,Optra,2006,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Toyota,Camry,2020,Automatic,"20,000 - 29,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,E 200,1992,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"3,500 JOD"
Mercedes Benz,B 250,2014,Automatic,"100,000 - 109,999",With Customs,Electric,Less than 50 kWh,Cash Only,"11,250 JOD"
Toyota,Prius,2012,Automatic,"130,000 - 139,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"11,000 JOD"
Honda,Accord,1995,Manual,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,200 JOD"
Mercedes Benz,E 200,1997,Manual,"130,000 - 139,999",Without Customs,Gasoline,0 - 499 cc,Cash Only,"1,000 JOD"
Hyundai,Accent,2020,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,500 JOD"
Honda,Insight,2022,Automatic,"30,000 - 39,999",Without Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Tesla,3,2018,Automatic,"40,000 - 49,999",With Customs,Electric,70 - 89 kWh,Cash Only,"18,300 JOD"
BMW,X6M,2009,Automatic,"130,000 - 139,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"20,500 JOD"
Hyundai,Sonata,2011,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"7,600 JOD"
Hyundai,Avante,2018,Automatic,"90,000 - 99,999",Without Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,250 JOD"
Hyundai,Avante,1997,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,100 JOD"
Mitsubishi,Pajero,2016,Automatic,"90,000 - 99,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"18,750 JOD"
Peugeot,107,2008,Automatic,"80,000 - 89,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,300 JOD"
Mitsubishi,Lancer,2014,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,400 JOD"
Kia,Morning,2018,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,600 JOD"
Toyota,Corolla,1993,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,100 JOD"
Hyundai,Porter,2016,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"9,000 JOD"
Mazda,CX-5,2024,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Ioniq,2017,Automatic,"90,000 - 99,999",With Customs,Electric,Less than 50 kWh,Cash Only,"14,000 JOD"
Mercedes Benz,E 200,2006,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"15,500 JOD"
Nissan,Sylphy,2019,Automatic,"70,000 - 79,999",With Customs,Electric,N/A,Cash or Installments,N/A
BYD,Qin,2022,Automatic,"10,000 - 19,999",With Customs,Electric,Less than 50 kWh,Cash Only,"14,000 JOD"
Hyundai,Avante,1999,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Toyota,Hilux,1988,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
Toyota,Camry,2016,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"11,500 JOD"
Hyundai,Ioniq,2020,Automatic,"40,000 - 49,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,H-1 Starex,1998,Manual,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"3,000 JOD"
Honda,Civic,2002,Automatic,"10,000 - 19,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"4,300 JOD"
Hyundai,Accent,1996,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,500 JOD"
Kia,Niro,2020,Automatic,"80,000 - 89,999",With Customs,Electric,More than 100 kWh,Installments Only,N/A
Mitsubishi,Lancer,2003,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Kia,Sephia,1997,Manual,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,200 JOD"
Mitsubishi,Outlander,2022,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"27,500 JOD"
Ford,Fusion,2017,Automatic,"70,000 - 79,999",With Customs,Hybrid,N/A,Cash Only,"15,250 JOD"
Mercedes Benz,E 200,2011,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"25,850 JOD"
Kia,Sorento,2014,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Nissan,Kicks,2020,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Toyota,Camry,2009,Automatic,"120,000 - 129,999",With Customs,Hybrid,N/A,Cash Only,"9,300 JOD"
Mercedes Benz,C 200,2023,Automatic,"10,000 - 19,999",With Customs,Mild Hybrid,"1,000 - 1,999 cc",Cash Only,"50,000 JOD"
Tesla,3,2022,Automatic,"60,000 - 69,999",With Customs,Electric,70 - 89 kWh,Cash Only,"19,900 JOD"
Hyundai,Ioniq,2017,Automatic,"150,000 - 159,999",With Customs,Electric,50 - 69 kWh,Cash Only,"14,000 JOD"
Mazda,3,2005,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,200 JOD"
Nissan,X-Trail,2007,Automatic,"1,000 - 9,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,600 JOD"
Hyundai,H100,2002,Manual,"30,000 - 39,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"5,000 JOD"
BMW,318,1999,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"4,900 JOD"
Hyundai,Ioniq,2018,Automatic,"70,000 - 79,999",With Customs,Electric,50 - 69 kWh,Cash Only,"12,500 JOD"
Mercedes Benz,E 200,2004,Automatic,"160,000 - 169,999",With Customs,Gasoline,N/A,Cash Only,"15,000 JOD"
Toyota,Hilux,2004,Manual,"70,000 - 79,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"7,900 JOD"
Lexus,LX 570,2017,Automatic,"190,000 - 199,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"59,500 JOD"
Kia,K3,2013,Manual,"10,000 - 19,999",With Customs,Diesel,"1,000 - 1,999 cc",Cash Only,"8,000 JOD"
Honda,Civic,1999,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"5,000 JOD"
Kia,Cerato,2015,Automatic,"150,000 - 159,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,150 JOD"
Mitsubishi,Other,2017,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"13,000 JOD"
Hyundai,Avante,1996,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,100 JOD"
Kia,Sportage,2011,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"11,600 JOD"
Chevrolet,Optra,2009,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Ford,Explorer,2008,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"7,500 JOD"
Honda,Accord,2006,Automatic,"150,000 - 159,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"7,250 JOD"
Hyundai,Avante,1997,Manual,"1,000 - 9,999",With Customs,Gasoline,"More than 6,000 cc",Cash Only,"2,700 JOD"
Hyundai,Avante,2000,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,200 JOD"
Hyundai,Avante,2002,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,600 JOD"
Toyota,Camry,2009,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"7,800 JOD"
Kia,Bongo,2014,Manual,0,With Customs,Diesel,N/A,Cash Only,"1,000,000 JOD"
Ford,Fusion,2017,Automatic,"140,000 - 149,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"13,900 JOD"
Kia,Niro,2020,Automatic,"20,000 - 29,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,650 JOD"
Hyundai,Veloster,2016,Automatic,"40,000 - 49,999",With Customs,Gasoline,N/A,Cash or Installments,N/A
Mitsubishi,Lancer,2011,Automatic,"90,000 - 99,999",With Customs,Gasoline,0 - 499 cc,Installments Only,N/A
Chevrolet,Aveo,2009,Automatic,"140,000 - 149,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,900 JOD"
Toyota,bZ4X,2022,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash Only,"21,800 JOD"
Kia,Niro,2018,Automatic,"40,000 - 49,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Jeep,Grand Cherokee,2012,Automatic,1 - 999,With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"14,800 JOD"
Hyundai,Tucson,2012,Automatic,"110,000 - 119,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Honda,e:NS1,2022,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash Only,"16,850 JOD"
Hyundai,Verna,2000,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,200 JOD"
Toyota,Corolla,2020,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"11,900 JOD"
Volkswagen,E-Golf,2019,Automatic,"20,000 - 29,999",With Customs,Electric,Less than 50 kWh,Cash Only,"14,000 JOD"
Honda,Insight,2019,Automatic,"80,000 - 89,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"15,000 JOD"
Ford,F-150,2011,Automatic,"+200,000",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"9,750 JOD"
Chevrolet,Colorado,2010,Automatic,"+200,000",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"5,000 JOD"
Peugeot,407,2005,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,200 JOD"
Infiniti,Q30,2018,Automatic,"70,000 - 79,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Nissan,Altima,2008,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"7,000 JOD"
Toyota,Prius+,2017,Automatic,"60,000 - 69,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"15,300 JOD"
Toyota,Prius,2008,Automatic,"1,000 - 9,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"6,500 JOD"
Tesla,3,2021,Automatic,"50,000 - 59,999",With Customs,Electric,50 - 69 kWh,Cash Only,"16,500 JOD"
Honda,Accord,2015,Automatic,"140,000 - 149,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Ford,F-150,2010,Automatic,"140,000 - 149,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"6,300 JOD"
Jeep,Grand Cherokee,2011,Automatic,"120,000 - 129,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"20,000 JOD"
Suzuki,Alto,2021,Manual,"110,000 - 119,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"4,950 JOD"
Kia,Cerato,2016,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,700 JOD"
Hyundai,H-1 Starex,2006,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"5,500 JOD"
Kia,Sephia,1997,Manual,"1,000 - 9,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"2,800 JOD"
Hyundai,Kona,2019,Automatic,"80,000 - 89,999",With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Volkswagen,ID.4,2021,Automatic,"60,000 - 69,999",With Customs,Electric,70 - 89 kWh,Cash Only,"19,400 JOD"
BMW,525,2007,Automatic,"80,000 - 89,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,
BYD,Han,2023,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Nissan,Leaf,2015,Automatic,"160,000 - 169,999",With Customs,Electric,Less than 50 kWh,Cash Only,"6,000 JOD"
Kia,Rio,2010,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,000 JOD"
Mitsubishi,Fuso,2018,Manual,"10,000 - 19,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"16,500 JOD"
Ford,Fusion,2014,Automatic,"90,000 - 99,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"12,500 JOD"
Kia,Rio,2013,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Citroen,C2,2006,Manual,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,750 JOD"
Mitsubishi,Lancer,2015,Automatic,0,With Customs,Gasoline,"1,000 - 1,999 cc",Installments Only,N/A
Hyundai,Accent,1995,Manual,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,700 JOD"
Land Rover,Range Rover Sport,2009,Automatic,"+200,000",With Customs,Gasoline,N/A,Cash Only,"14,000 JOD"
Nissan,Leaf,2017,Automatic,"90,000 - 99,999",With Customs,Electric,Less than 50 kWh,Cash Only,"8,400 JOD"
Nissan,Sylphy,2019,Automatic,"60,000 - 69,999",With Customs,Electric,Less than 50 kWh,Cash Only,"11,200 JOD"
