car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Mazda,3,2015,Automatic,"120,000 - 129,999",With Customs,Gasoline,N/A,Cash Only,"11,200 JOD"
Hyundai,Avante,2018,Automatic,"90,000 - 99,999",With Customs,Gasoline,N/A,Cash Only,"13,600 JOD"
Hyundai,Ioniq,2020,Automatic,"90,000 - 99,999",With Customs,Hybrid,N/A,Cash Only,"17,000 JOD"
Kia,Niro,2022,Automatic,"1,000 - 9,999",With Customs,Electric,50 - 69 kWh,Cash Only,"18,350 JOD"
Mercedes Benz,C 350e,2018,Automatic,"30,000 - 39,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"26,500 JOD"
Infiniti,QX80,2017,Automatic,"60,000 - 69,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"37,000 JOD"
Mercedes Benz,E 350,2021,Automatic,"20,000 - 29,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"53,000 JOD"
Chevrolet,Bolt,2020,Automatic,"30,000 - 39,999",With Customs,Electric,More than 100 kWh,Cash or Installments,N/A
Honda,Accord,2017,Automatic,"110,000 - 119,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"19,500 JOD"
Hyundai,Verna,2000,Automatic,0,With Customs,Gasoline,500 - 999 cc,Cash Only,"4,350 JOD"
Mitsubishi,Pajero,2007,Automatic,"150,000 - 159,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"11,700 JOD"
Hyundai,Sonata,2020,Automatic,"130,000 - 139,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,E 200,2007,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"16,500 JOD"
Nissan,GT-R,2012,Automatic,"20,000 - 29,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,
Chevrolet,Menlo,2023,Automatic,0,Without Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Toyota,Prius,2005,Automatic,"150,000 - 159,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"6,250 JOD"
Ford,Fusion,2015,Automatic,"110,000 - 119,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"12,600 JOD"
Hyundai,Ioniq,2020,Automatic,"60,000 - 69,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,
Hyundai,Sonata,2020,Automatic,"80,000 - 89,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,
Ford,F-150,2016,Automatic,"+200,000",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"20,000 JOD"
Toyota,Coaster,2023,Manual,0,Without Customs,Diesel,"4,000 - 4,999 cc",Cash or Installments,N/A
Changan,E-Star,2023,Automatic,0,Without Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Toyota,bZ4X,2022,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Volkswagen,E-Golf,2019,Automatic,"10,000 - 19,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
BMW,X6,2012,Automatic,"100,000 - 109,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"23,500 JOD"
Hyundai,Ioniq 6,2024,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Hyundai,Elantra,2023,Automatic,0,With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Land Rover,Range Rover Sport,2022,Automatic,"30,000 - 39,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash or Installments,N/A
Ford,Fusion,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"16,800 JOD"
Volkswagen,ID.4,2021,Automatic,"10,000 - 19,999",With Customs,Electric,70 - 89 kWh,Cash Only,"19,300 JOD"
